Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
"As a customer, I want to select which items that I would like cancelled, so I can obtain a refund.",ESA-15,10014,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:09 PM,23/Mar/25 2:04 PM,22/Mar/25 7:49 PM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-2,Cancelling Orders,,,,,,,,,,0|i0002v:,,,,,,,,,,,,,,,,10001,Cancelling Orders,To Do,22/Mar/25 6:09 PM
"As a customer, I want to be cancelled recently purchased orders, so that I obtain a refund.",ESA-14,10013,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:07 PM,23/Mar/25 2:04 PM,22/Mar/25 7:49 PM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-2,Cancelling Orders,,,,,,,,,,0|i0002n:,,,,,,,,,,,,,,,,10001,Cancelling Orders,To Do,22/Mar/25 6:07 PM
"As a customer, I want to add my Credit Card information, so I can pay for the items.",ESA-13,10012,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:07 PM,23/Mar/25 2:04 PM,22/Mar/25 7:48 PM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0002f:,,,,,,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:07 PM
"As a customer, I want to add a new Shipping Address, so I can send the order to a different location",ESA-12,10011,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:06 PM,23/Mar/25 2:04 PM,22/Mar/25 7:48 PM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i00027:,,,,,,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:06 PM
"As a customer, I want to add a different Shipping Address than my Billing Address, so I can have the product shipped to the correct location",ESA-11,10010,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:06 PM,24/Mar/25 12:47 AM,24/Mar/25 12:44 AM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0001z:,,,ESA Sprint 1,,3.0,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:06 PM
"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",ESA-10,10009,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:05 PM,23/Mar/25 2:22 PM,22/Mar/25 7:48 PM,,Version 1,,,0,Shopping,"# Write and review acceptance tests Task
# Write unit tests and code for cart mobile service Task
# Run acceptance tests Task
# Fix bugs Task
# Perform code review",,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0002j:,,,,,,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:05 PM
"As a customer, I want to review the items in my cart, so that I can correct any items before I  purchase them. ",ESA-9,10008,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:03 PM,24/Mar/25 12:47 AM,24/Mar/25 12:44 AM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0001r:,,,ESA Sprint 1,,5.0,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:03 PM
"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",ESA-8,10007,Story,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 5:47 PM,24/Mar/25 1:29 AM,24/Mar/25 12:38 AM,24/Mar/25 1:29 AM,Version 1,iOS,,0,Shopping,"*Acceptance Criteria for checking out:*

# I can see the list of items I’m buying.
# I can enter my billing and shipping addresses.
# I can see the total costs, including shipping and tax.
# I can confirm I am ready to check out.
# I receive an email after my order has been placed.",,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0001j:,,,ESA Sprint 1,,8.0,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_114154789,,10000,Shopping Cart,Done,24/Mar/25 1:29 AM
Shopping Location,ESA-7,10006,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:59 PM,21/Mar/25 4:59 PM,22/Mar/25 5:44 PM,,,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-14,,,,To Do,,,dark_orange,,,,,0|i0001b:,,,,,,,,,,,,,,,,,,To Do,21/Mar/25 4:59 PM
Loyalties Program,ESA-6,10005,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:58 PM,22/Mar/25 6:16 PM,22/Mar/25 6:16 PM,,,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-12,,,,To Do,,,grey,,,,,0|i00013:,,,,,,,,,,,,,,,,,,To Do,21/Mar/25 4:58 PM
Product Search,ESA-5,10004,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:58 PM,22/Mar/25 6:15 PM,22/Mar/25 6:15 PM,,,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-3,,,,To Do,,,yellow,,,,,0|i0000v:,,,,,,,,,,,,,,,,,,To Do,21/Mar/25 4:58 PM
Shopping Interface,ESA-4,10003,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:57 PM,21/Mar/25 4:57 PM,,,,,,0,,Shopping Interface,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-4,,,,To Do,,,dark_blue,,,,,0|i0000n:,,,,,,,,,,,,,,,,,,To Do,21/Mar/25 4:57 PM
User Account,ESA-3,10002,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:57 PM,21/Mar/25 4:57 PM,,,,,,0,,User Account,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-9,,,,To Do,,,orange,,,,,0|i0000f:,,,,,,,,,,,,,,,,,,To Do,21/Mar/25 4:57 PM
Cancelling Orders,ESA-2,10001,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:56 PM,21/Mar/25 4:56 PM,,,,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-8,,,,To Do,,,dark_purple,,,,,0|i00007:,,,,,,,,,,,,,,,,,,To Do,21/Mar/25 4:56 PM
Shopping Cart,ESA-1,10000,Epic,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,21/Mar/25 4:53 PM,21/Mar/25 4:53 PM,24/Mar/25 1:30 AM,,,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-11,,,,To Do,,,teal,,,,,0|hzzzzz:,,,ESA Sprint 1,,,,,,,,,,,,,,,To Do,21/Mar/25 4:53 PM
